2025-09-30 (16:45:24) -->  Laravel schedule:run komutu çalýþtýrýlýyor...
2025-09-30 (16:45:24) -->  Laravel Scheduler: Çalýþacak zamanlanmýþ görev yok
2025-09-30 (16:46:24) -->  Laravel schedule:run komutu çalýþtýrýlýyor...
2025-09-30 (16:46:25) -->  Laravel Scheduler: Çalýþacak zamanlanmýþ görev yok
2025-09-30 (16:47:25) -->  Laravel schedule:run komutu çalýþtýrýlýyor...
2025-09-30 (16:47:25) -->  Laravel Scheduler: Çalýþacak zamanlanmýþ görev yok
2025-09-30 (16:48:25) -->  Laravel schedule:run komutu çalýþtýrýlýyor...
2025-09-30 (16:48:25) -->  Laravel Scheduler: Çalýþacak zamanlanmýþ görev yok
2025-09-30 (16:49:25) -->  Laravel schedule:run komutu çalýþtýrýlýyor...
2025-09-30 (16:49:26) -->  Laravel Scheduler: Çalýþacak zamanlanmýþ görev yok
2025-09-30 (16:50:26) -->  Laravel schedule:run komutu çalýþtýrýlýyor...
2025-09-30 (16:50:26) -->  Laravel Scheduler: Çalýþacak zamanlanmýþ görev yok
2025-09-30 (16:51:24) -->  Check fingerprint module exception: is_device_open() missing 1 required positional argument: 'dev'
2025-09-30 (16:51:24) -->  Skipped fp_module control due to the lock
2025-09-30 (16:51:27) -->  Laravel schedule:run komutu çalýþtýrýlýyor...
2025-09-30 (16:51:27) -->  Laravel Scheduler: Çalýþacak zamanlanmýþ görev yok
2025-09-30 (16:52:27) -->  Laravel schedule:run komutu çalýþtýrýlýyor...
2025-09-30 (16:52:27) -->  Laravel Scheduler: Çalýþacak zamanlanmýþ görev yok
2025-09-30 (16:53:28) -->  Laravel schedule:run komutu çalýþtýrýlýyor...
2025-09-30 (16:53:28) -->  Laravel Scheduler: Çalýþacak zamanlanmýþ görev yok
2025-09-30 (16:54:28) -->  Laravel schedule:run komutu çalýþtýrýlýyor...
2025-09-30 (16:54:28) -->  Laravel Scheduler: Çalýþacak zamanlanmýþ görev yok
2025-09-30 (16:55:28) -->  Laravel schedule:run komutu çalýþtýrýlýyor...
2025-09-30 (16:55:28) -->  Laravel Scheduler: Çalýþacak zamanlanmýþ görev yok
2025-09-30 (16:56:28) -->  Laravel schedule:run komutu çalýþtýrýlýyor...
2025-09-30 (16:56:29) -->  Laravel Scheduler: Çalýþacak zamanlanmýþ görev yok
2025-09-30 (16:57:29) -->  Laravel schedule:run komutu çalýþtýrýlýyor...
2025-09-30 (16:57:29) -->  Laravel Scheduler: Çalýþacak zamanlanmýþ görev yok
2025-09-30 (16:58:29) -->  Laravel schedule:run komutu çalýþtýrýlýyor...
2025-09-30 (16:58:29) -->  Laravel Scheduler: Çalýþacak zamanlanmýþ görev yok
2025-09-30 (16:59:29) -->  Laravel schedule:run komutu çalýþtýrýlýyor...
2025-09-30 (16:59:29) -->  Laravel Scheduler: Çalýþacak zamanlanmýþ görev yok
2025-09-30 (17:00:30) -->  Laravel schedule:run komutu çalýþtýrýlýyor...
2025-09-30 (17:00:30) -->  Laravel Scheduler: Çalýþacak zamanlanmýþ görev yok
2025-09-30 (17:01:04) -->  PaksDatabase Db Connected
2025-09-30 (17:01:04) -->  PaksDatabase SELECT id FROM people WHERE deleted_at is null executed
2025-09-30 (17:01:04) -->  PaksDatabase SELECT id FROM people WHERE deleted_at is null executed
2025-09-30 (17:01:04) -->  PaksDatabase Db Connection Closed..
2025-09-30 (17:01:04) -->  PaksDatabase Db Connected
