2025-09-13 (00:01:02) -->  PaksDatabase SELECT id FROM crime_check_times where deleted_at is null and crime_id = 22 and print_status is null and date(end_time) < CURRENT_DATE() LIMIT 1 executed
2025-09-13 (00:01:02) -->  PaksDatabase SELECT id FROM crime_check_times where deleted_at is null and crime_id = 22 and print_status is null and date(end_time) < CURRENT_DATE() LIMIT 1 executed
2025-09-13 (00:01:02) -->  PaksDatabase Db Connection Closed..
2025-09-13 (00:01:02) -->  PaksDatabase Db Connected
2025-09-13 (00:01:02) -->  PaksDatabase SELECT id FROM crime_check_times where deleted_at is null and crime_id = 26 and print_status is null and date(end_time) < CURRENT_DATE() LIMIT 1 executed
2025-09-13 (00:01:02) -->  PaksDatabase SELECT id FROM crime_check_times where deleted_at is null and crime_id = 26 and print_status is null and date(end_time) < CURRENT_DATE() LIMIT 1 executed
2025-09-13 (00:01:02) -->  PaksDatabase Db Connection Closed..
2025-09-13 (00:01:02) -->  PaksDatabase Db Connected
2025-09-13 (00:01:02) -->  PaksDatabase SELECT id FROM crime_check_times where deleted_at is null and crime_id = 27 and print_status is null and date(end_time) < CURRENT_DATE() LIMIT 1 executed
2025-09-13 (00:01:02) -->  PaksDatabase SELECT id FROM crime_check_times where deleted_at is null and crime_id = 27 and print_status is null and date(end_time) < CURRENT_DATE() LIMIT 1 executed
2025-09-13 (00:01:02) -->  PaksDatabase Db Connection Closed..
2025-09-13 (00:01:02) -->  PaksDatabase Db Connected
2025-09-13 (00:01:02) -->  PaksDatabase SELECT id FROM crime_check_times where deleted_at is null and crime_id = 30 and print_status is null and date(end_time) < CURRENT_DATE() LIMIT 1 executed
2025-09-13 (00:01:02) -->  PaksDatabase SELECT id FROM crime_check_times where deleted_at is null and crime_id = 30 and print_status is null and date(end_time) < CURRENT_DATE() LIMIT 1 executed
2025-09-13 (00:01:02) -->  PaksDatabase Db Connection Closed..
2025-09-13 (00:01:02) -->  PaksDatabase Db Connected
2025-09-13 (00:01:02) -->  PaksDatabase SELECT id FROM crime_check_times where deleted_at is null and crime_id = 34 and print_status is null and date(end_time) < CURRENT_DATE() LIMIT 1 executed
2025-09-13 (00:01:02) -->  PaksDatabase SELECT id FROM crime_check_times where deleted_at is null and crime_id = 34 and print_status is null and date(end_time) < CURRENT_DATE() LIMIT 1 executed
2025-09-13 (00:01:02) -->  PaksDatabase Db Connection Closed..
2025-09-13 (00:01:02) -->  PaksDatabase Db Connected
2025-09-13 (00:01:02) -->  PaksDatabase SELECT id FROM crime_check_times where deleted_at is null and crime_id = 36 and print_status is null and date(end_time) < CURRENT_DATE() LIMIT 1 executed
2025-09-13 (00:01:02) -->  PaksDatabase SELECT id FROM crime_check_times where deleted_at is null and crime_id = 36 and print_status is null and date(end_time) < CURRENT_DATE() LIMIT 1 executed
2025-09-13 (00:01:02) -->  PaksDatabase Db Connection Closed..
2025-09-13 (00:01:02) -->  PaksDatabase Db Connected
2025-09-13 (00:01:02) -->  PaksDatabase SELECT id FROM crime_check_times where deleted_at is null and crime_id = 40 and print_status is null and date(end_time) < CURRENT_DATE() LIMIT 1 executed
2025-09-13 (00:01:02) -->  PaksDatabase SELECT id FROM crime_check_times where deleted_at is null and crime_id = 40 and print_status is null and date(end_time) < CURRENT_DATE() LIMIT 1 executed
2025-09-13 (00:01:02) -->  PaksDatabase Db Connection Closed..
2025-09-13 (00:01:02) -->  PaksDatabase Db Connected
2025-09-13 (00:01:02) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '6' and status = 0 executed
2025-09-13 (00:01:02) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '6' and status = 0 executed
2025-09-13 (00:01:02) -->  PaksDatabase Db Connection Closed..
2025-09-13 (00:01:02) -->  PaksDatabase Db Connected
2025-09-13 (00:01:02) -->  PaksDatabase SELECT id FROM crime_check_times where deleted_at is null and crime_id = 28 and print_status is null and date(end_time) < CURRENT_DATE() LIMIT 1 executed
2025-09-13 (00:01:02) -->  PaksDatabase SELECT id FROM crime_check_times where deleted_at is null and crime_id = 28 and print_status is null and date(end_time) < CURRENT_DATE() LIMIT 1 executed
2025-09-13 (00:01:02) -->  PaksDatabase Db Connection Closed..
2025-09-13 (00:01:02) -->  PaksDatabase Db Connected
2025-09-13 (00:01:02) -->  PaksDatabase SELECT id FROM crime_check_times where deleted_at is null and crime_id = 29 and print_status is null and date(end_time) < CURRENT_DATE() LIMIT 1 executed
2025-09-13 (00:01:02) -->  PaksDatabase SELECT id FROM crime_check_times where deleted_at is null and crime_id = 29 and print_status is null and date(end_time) < CURRENT_DATE() LIMIT 1 executed
2025-09-13 (00:01:02) -->  PaksDatabase Db Connection Closed..
2025-09-13 (00:01:02) -->  PaksDatabase Db Connected
2025-09-13 (00:01:02) -->  PaksDatabase SELECT id FROM crime_check_times where deleted_at is null and crime_id = 37 and print_status is null and date(end_time) < CURRENT_DATE() LIMIT 1 executed
2025-09-13 (00:01:02) -->  PaksDatabase SELECT id FROM crime_check_times where deleted_at is null and crime_id = 37 and print_status is null and date(end_time) < CURRENT_DATE() LIMIT 1 executed
2025-09-13 (00:01:02) -->  PaksDatabase Db Connection Closed..
2025-09-13 (00:01:02) -->  PaksDatabase Db Connected
2025-09-13 (00:01:02) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '7' and status = 0 executed
2025-09-13 (00:01:02) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '7' and status = 0 executed
2025-09-13 (00:01:02) -->  PaksDatabase Db Connection Closed..
2025-09-13 (00:01:02) -->  PaksDatabase Db Connected
2025-09-13 (00:01:02) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '8' and status = 0 executed
2025-09-13 (00:01:02) -->  PaksDatabase SELECT id FROM crimes where deleted_at is null and person_id = '8' and status = 0 executed
2025-09-13 (00:01:02) -->  PaksDatabase Db Connection Closed..
